"entitles","enextracts","detitles","deextracts"
"Clean (programming language)","In computer science, Clean is a general-purpose purely functional computer programming language.","Clean (Programmiersprache)","Clean ist eine funktionale Programmiersprache.
Clean zeichnet sich durch referenzielle Transparenz aus, was bedeutet, dass das Ergebnis eines Funktionsaufrufes nur von den Eingabeparametern abhängt. Bei gleichen Eingabeparametern erhält man also auch immer das gleiche Ergebnis.
Clean hat ähnliche Eigenschaften wie die Programmiersprache Haskell. Auffälligster Unterschied ist die Verwendung von uniqueness typing für die Ein- und Ausgabe anstelle einer Monade."
"Trier","Trier (German pronunciation: [ˈtʀiːɐ̯]; Luxembourgish: Tréier; Italian: Treviri), formerly known in English as Treves (French: Trèves, IPA: [tʁɛv]), is a city in Germany on the banks of the Moselle. Trier lies in a valley between low vine-covered hills of red sandstone in the west of the state of Rhineland-Palatinate, near the border with Luxembourg and within the important Moselle wine region. Founded by the Romans in the late 1st century BC as Augusta Treverorum (Latin for ""The City of Augustus among the Treveri""), Trier may be the oldest city in Germany. It is also the oldest seat of a bishop north of the Alps. In the Middle Ages, the Archbishop of Trier was an important prince of the church, as the Archbishopric of Trier controlled land from the French border to the Rhine. The Archbishop also had great significance as one of the seven electors of the Holy Roman Empire.
With an approximate population of 105,000, Trier is the 4th-largest city in its state, trailing Mainz, Ludwigshafen, and Koblenz. The nearest major cities are Luxembourg (50 km or 31 mi to the southwest), Saarbrücken (80 kilometres or 50 miles southeast), and Koblenz (100 km or 62 mi northeast).
Trier is home to the University of Trier, the administration of the Trier-Saarburg district and the seat of the ADD (Aufsichts- und Dienstleistungsdirektion), which until 1999 was the borough authority of Trier, and the Academy of European Law (ERA). It is one of the five ""central places"" of the state of Rhineland-Palatinate. Along with Luxembourg, Metz and Saarbrücken, fellow constituent members of the QuattroPole union of cities, it also forms a central place of the greater region encompassing Saar-Lor-Lux (Saarland, Lorraine and Luxembourg), Rhineland-Palatinate, and Wallonia.","Trier","Trier (französisch Trèves, luxemburgisch Tréier) ist als kreisfreie Stadt im Westen des Landes Rheinland-Pfalz dessen viertgrößte Stadt hinter Mainz, Ludwigshafen am Rhein und Koblenz.
Trier ist Sitz einer Universität, einer Hochschule, der Verwaltung des Landkreises Trier-Saarburg, der Verwaltung der Verbandsgemeinde Trier-Land, der Aufsichts- und Dienstleistungsdirektion (ADD, bis 1999 Bezirksregierung Trier), mehrerer Dienststellen des Landesuntersuchungsamtes (LUA) und einer römisch-katholischen Diözese (Bistum Trier, das älteste nördlich der Alpen).
Die Stadt wurde vor mehr als 2000 Jahren unter dem Namen Augusta Treverorum (ab der zweiten Hälfte des 3. Jahrhunderts Treveris) gegründet und beansprucht den Titel der ältesten Stadt Deutschlands für sich. Trier beruft sich hierbei auf die längste Geschichte als bereits von den Römern anerkannte Stadt, im Gegensatz zu einer Siedlung oder einem Heerlager.
Die Römischen Baudenkmäler in Trier, bestehend aus Amphitheater, Barbarathermen, Kaiserthermen, Konstantinbasilika, Porta Nigra, Römerbrücke, Igeler Säule, Dom sowie die Liebfrauenkirche zählen seit 1986 zum UNESCO-Weltkulturerbe."
"Adenine (programming language)","Adenine, named after the nucleobase adenine, is a scripting language that is cross-platform, which is developed in the context of project Haystack and Project Oxygen of the Massachusetts Institute of Technology (MIT) Computer Science and Artificial Intelligence Laboratory (CSAIL) in collaboration with Nippon Telegraph and Telephone (NTT).
Adenine was developed as the implementation language of the Haystack Semantic Desktop. It is the perhaps the earliest example of a homoiconic general graph (rather than list/tree) programming language.
A substantial characteristic of Adenine is that this language possesses native support for the Resource Description Framework (RDF). The language constructs of Adenine are derived from Python and Lisp.
Adenine is written in RDF and thus also can be represented and written with RDF based syntaxes such as Notation3 (N3). Also, as well as RDF, Adenine can be extended. The data type system corresponds to the data type system from RDF and XML Schema, and can be extended.","Adenine","Adenine, benannt nach der Nukleinbase Adenin, ist eine Skriptsprache, welche im Rahmen des Haystack- und Oxygen-Projekts vom MIT Computer Science And Artificial Intelligence Laboratory (CSAIL) in Zusammenarbeit mit NTT entwickelt wird.
Ein wesentliches Merkmal von Adenine ist, dass diese Sprache native Unterstützung für das RDF besitzt. Die Sprachkonstrukte von Adenine sind an Python und LISP angelehnt. Die Sprache selbst wird in RDF abgebildet und kann somit einerseits mit verschiedenen RDF basierten Syntaxen wie N3 dargestellt und geschrieben werden, sowie andererseits wie RDF erweitert werden.
Adenine ist aufgrund der Spezialisierung auf RDF eine Domänenspezifische Programmiersprache (DSL). Das Datentypsystem entspricht dem von RDF und XML Schema, kann jedoch prinzipiell erweitert werden. Als Skriptsprache ist Adenine plattformunabhängig."
"Wittenberg","Wittenberg, officially Lutherstadt Wittenberg, is a city in Saxony-Anhalt, Germany. Situated on the river Elbe, it has a population of about 50,000.
The importance of Wittenberg historically was due to its seat of the Elector of Saxony, a dignity held by the dukes of Saxe-Wittenberg and also to its close connection with Martin Luther and the dawn of the Protestant Reformation; several of its buildings are associated with the events of this time. Part of the Augustinian monastery in which Luther dwelt, first as a monk and later as owner with his wife and family, is preserved and considered to be the world's premier museum dedicated to Luther. Various Luther and Melanchthon memorial sites were added to the UNESCO world heritage list in 1996.","Lutherstadt Wittenberg","Wittenberg, seit 1938 amtlich Lutherstadt Wittenberg, ist eine Stadt im östlichen Teil des Bundeslandes Sachsen-Anhalt und Sitz des Landkreises Wittenberg. Sie liegt an der Elbe zwischen Dessau-Roßlau im Westen, dem Fläming im Norden, der Dübener Heide im Süden und des Elbe-Elster-Landes im Osten, knapp 100 Kilometer südwestlich von Berlin und etwa 70 Kilometer nordnordöstlich von Leipzig.
Herausragende Bedeutung erlangte Wittenberg als eines der wichtigsten deutschen Zentren politischer, kulturgeschichtlicher und künstlerischer Bestrebungen im 16. Jahrhundert. Die weltberühmten Reformationsstätten in der Altstadt und in verschiedenen Epochen entstandene Gebäude zählen zu den bedeutendsten Stätten der deutschen Geschichte. Die Wirkungsstätten Martin Luthers, Philipp Melanchthons und Lucas Cranach des Älteren werden bereits seit Jahrhunderten von internationalen Gästen aufgesucht. Wittenberg war Hauptstadt des sächsischen Kurkreises und herzogliche und kurfürstliche Residenz von Sachsen-Wittenberg. Später wurde die Stadt zum Zentrum der chemischen Industrie und ein wichtiger Eisenbahnknotenpunkt an den Strecken Berlin–Leipzig und Magdeburg–Dresden. Mit der Stadtkirche St. Marien, der Schlosskirche Allerheiligen, dem Lutherhaus und dem Melanchthonhaus sowie dem benachbarten Dessau-Wörlitzer Gartenreich ist Wittenberg mit seiner Umgebung die Region mit der dichtesten Ansiedlung von UNESCO-Welterbestätten der Erde.
↑ Statistisches Landesamt Sachsen-Anhalt, Bevölkerung der Gemeinden – Stand: 31.12.2013 (PDF) (Fortschreibung auf Grundlage des Zensus 2011) (Hilfe dazu)"
"Hufeisensiedlung","The Hufeisensiedlung (""Horseshoe Estate"") is a housing estate in Berlin, built in 1925-33. It enjoys international renown as a milestone of modern urban housing. It was designed by architect Bruno Taut, municipal planning head and co-architect Martin Wagner, garden architect Leberecht Migge and Neukölln gardens director Ottokar Wagler. In 1986 the ensemble was placed under German heritage protection. On July 7, 2008, it was awarded UNESCO World Heritage status as one out of six Berlin Modernism Housing Estates. Since 2010, the Horseshoe Estate has also been listed as a garden monument. The Hufeisensiedlung is probably the most outstanding example of innovative German town planning during the 1920s.","Hufeisensiedlung","Die Hufeisensiedlung entstand nach Plänen von Bruno Taut und Martin Wagner von 1925 bis 1933 im Berliner Ortsteil Britz. Sie ist eines der ersten Projekte des sozialen Wohnungsbaues und Teil der Großsiedlung Britz/Fritz-Reuter-Stadt, deren zweiter Teil von den Architekten Ernst Engelmann und Emil Fangmeyer (1893–1964) gestaltet wurde. Seit 2008 gehört sie zum UNESCO-Welterbe Siedlungen der Berliner Moderne."
"Church of the Redeemer, Sacrow","The Protestant Church of the Redeemer (German: Heilandskirche, Latin: S. Ecclesiae sanctissimi Salvatoris in portu sacro) is located to the south of the village of Sacrow, which since 1939 has been incorporated to Potsdam, the capital of the German Bundesland of Brandenburg. It is famous for its Italian Romanesque Revival architecture with a separate campanile (bell tower) and for its scenic location. It was built in 1844. The design was based on drawings by King Frederick William IV of Prussia, called the Romantic on the Throne. The building was realized by Ludwig Persius, the king's favorite architect.","Heilandskirche am Port von Sacrow","Südlich des Potsdamer Ortsteils Sacrow steht am Havelufer die Heilandskirche am Port von Sacrow, auch einfach „Heilandskirche“ oder „Sacrower Kirche“ genannt. Die aufgrund ihrer Lage und ihres Stils außergewöhnliche Kirche wurde 1844 errichtet. Friedrich Wilhelm IV. wünschte sich eine Kirche in italienischem Stil mit freistehendem Glockenturm (Campanile). Nach Skizzen des Königs wurde sie von seinem Architekten Ludwig Persius gebaut. Seit 1961 lag sie im Bereich der Berliner Mauer und erlitt in dieser Zeit erhebliche Schäden. Nach der Wende wurde sie in den 1990er-Jahren restauriert. Eingebettet in den Sacrower Schlosspark ist sie Teil der Potsdamer Havellandschaft, die von der Pfaueninsel bis nach Werder reicht und mit ihren Schlössern und Gärten als Ensemble seit 1990 als Weltkulturerbe unter dem Schutz der UNESCO steht."
"St. Michael's Church, Hildesheim","The Church of St. Michael (German: Michaeliskirche) is an early-Romanesque church in Hildesheim, Germany. It has been on the UNESCO World Cultural Heritage list since 1985. It is now a Lutheran church.","St. Michael (Hildesheim)","St. Michael in Hildesheim, auch als Michaeliskirche bezeichnet, ist eine ottonische, vorromanische Kirche. Sie war bis zur Reformation die Abteikirche der gleichnamigen Benediktinerabtei. Seit 1985 zählt sie gemeinsam mit dem Hildesheimer Dom zum UNESCO Weltkulturerbe. Am 2. Januar 2010 erschien eine Jubiläumsbriefmarke (2,20 EUR) mit dem Motiv von St. Michael. Seit dem 7. Februar 2014 ist eine deutsche 2-Euro-Gedenkmünze im Umlauf, deren Rückseite die Kirche zeigt."
"Margravial Opera House","The Margravial Opera House (German: Markgräfliches Opernhaus) is a Baroque opera house in the town of Bayreuth, Germany, built between 1744 and 1748. It is one of Europe's few surviving theatres of the period and has been extensively restored. On 30 June 2012 the opera house was inscribed in the UNESCO World Heritage List.

","Markgräfliches Opernhaus","Das Markgräfliche Opernhaus in der oberfränkischen Stadt Bayreuth ist ein Theaterbau des 18. Jahrhunderts. Am 30. Juni 2012 erhob die UNESCO das barocke Gebäude zum Weltkulturerbe."
"Hildesheim Cathedral","Hildesheim Cathedral (German: Hildesheimer Dom), officially the Cathedral of the Assumption of Mary (German: St. Mariä Himmelfahrt), is a medieval Catholic cathedral in Hildesheim, Germany, that has been on the UNESCO World Cultural Heritage list since 1985, together with the nearby St. Michael's Church.
The cathedral church was built between 1010 and 1020 in the Romanesque style. It follows a symmetrical plan with two apses, that is characteristic of Ottonian Romanesque architecture in Old Saxony. The cathedral's treasures include world-famous artworks, bronzeworks from the time of Bishop Bernward, Bernward Doors and Bernward Column, as well as two of the four notable Romanesque wheel chandeliers: the Hezilo chandelier and the Azelin chandelier.
After renovations and extensions in the 11th, 12th and 14th centuries, the cathedral was completely destroyed during an air raid on 22 March 1945, and rebuilt from 1950 to 1960. A thorough renovation of the cathedral began in 2010, including technical and conservation measures. Some of the cathedral's treasures have been shown further afield, including at an exhibition at New York's Metropolitan Museum of Art. The cathedral was reopened on 15 August 2014.","Hildesheimer Dom","Der Hildesheimer Dom St. Mariä Himmelfahrt ist die Kathedrale des römisch-katholischen Bistums Hildesheim in Hildesheim. Der erste Dombau an dieser Stelle entstand 872. Die Gebäude und Kunstschätze gehören seit 1985 gemeinsam mit der Michaeliskirche zum Weltkulturerbe der UNESCO."
"ISWIM","ISWIM is an abstract computer programming language (or a family of programming languages) devised by Peter J. Landin and first described in his article The Next 700 Programming Languages, published in the Communications of the ACM in 1966. The acronym stands for ""If you See What I Mean"" (also said to have stood for ""I See What You Mean"", but ISWYM was mistyped as ISWIM).
Although not implemented, it has proved very influential in the development of programming languages, especially functional programming languages such as SASL, Miranda, ML, Haskell and their successors, and dataflow programming languages like Lucid.","ISWIM","ISWIM ist eine von Peter J. Landin konzipierte Programmiersprache und eine Abkürzung von »If you See What I Mean«.
Landin stellte seine Ideen auf einer Konferenz im August 1965 vor. Dieser Vortrag wurde unter dem Titel The Next 700 Programming Languages in den Communications of the ACM veröffentlicht und übte unterschwellig einen großen Einfluss auf spätere Entwicklungen aus. Laut John C. Reynolds übertraf der Einfluss den von Algol 60.
Der Titel spielt auf die damals gezählten 700 Anwendungsfelder an, für die bereits 1700 Programmiersprachen existierten. Alle diese Sprachen unterschieden sich in vielen Details – auch in den Teilen, die nicht mit ihrem Anwendungsgebiet zu tun hatten. Nun hatte man durch Algol 60 gerade die Nützlichkeit einer klaren Struktur kennengelernt und verwandte es deshalb gerne auch für Anwendungen, für die es nicht entworfen worden war.
Landin (1965) hatte den applikativen Kern in Algol 60 beschrieben. Nun ging er umgekehrt von diesem Kern, also einem ungetypten λ-Kalkül aus. Das Ziel ist es, diesen Kern so weit wie möglich anwendbar zu machen. Eine Konsequenz ist die Freigabe der Auswertungsreihenfolge, die bei der imperativen Programmierung bekanntlich mehr als logisch nötig festgelegt wird.
Nicht angesprochen in Landins Vortrag wurde die Frage, wie ISWIM hätte erweitert werden können; er spricht allerdings von 700 Programmiersprachen und nicht von einer Programmiersprache mit 700 Erweiterungsmodulen. Tatsächlich scheint diese Frage auch erst später intensiver untersucht worden zu sein.
Ebenfalls vorausgesetzt und nicht näher diskutiert wurden die imperativen Ergänzungen.
Die Darstellung der Quelltext-Blockstruktur mittels Einrückung (Offside-Rule, Abseitsregel) in ISWIM wurde von einigen später entwickelten Programmiersprachen übernommen. Beispielsweise implementieren Haskell, Occam und Python die Abseitsregel."
"Pharo","Pharo is an open source implementation of the programming language and environment Smalltalk. Pharo offers strong live programming features such as immediate object manipulation, live update, hot recompilation. Live programming environment is in the heart of the system. Pharo also supports advanced web development with frameworks such as Seaside and more recently Tide.","Pharo (Programmiersprache)","Pharo ist eine Open-Source-Implementierung der Programmiersprache Smalltalk.
Pharo Smalltalk ist eine objektorientierte, dynamische, reflexive und dynamisch typisierte Programmiersprache, die 2008 als Fork aus der Smalltalk-Implementierung Squeak hervorgegangen ist.
↑ Pharo board (engl.)
↑ Pharo Lizenzinformation"
"Miranda (programming language)","Miranda is a lazy, purely functional programming language designed by David Turner as a successor to his earlier programming languages SASL and KRC, using some concepts from ML and Hope. It was produced by Research Software Ltd. of England (which holds a trademark on the name Miranda) and was the first purely functional language to be commercially supported.
Miranda was first released in 1985, as a fast interpreter in C for Unix-flavour operating systems, with subsequent releases in 1987 and 1989. The later Haskell programming language is similar in many ways to Miranda.

","Miranda (Programmiersprache)","Miranda ist eine rein funktionale Programmiersprache, die von David Turner basierend auf den von ihm früher entwickelten Programmiersprachen SASL und KRC entwickelt wurde und Konzepte der Programmiersprachen ML und Hope enthält.
Sie war geistiges Vorbild für die später entwickelte Programmiersprache Haskell, die viele Ähnlichkeiten mit Miranda hat.
Die 1985 veröffentlichte Programmiersprache Miranda war die erste funktionale Programmiersprache, die nicht für die Verwendung in der Wissenschaft, sondern für den kommerziellen Gebrauch entwickelt wurde.
Seit dem 1985 in C geschriebenen Interpreter für Unix-Systeme gab es keine weiteren Entwicklungen, so dass die Programmiersprache heute als tot angesehen werden kann. Dennoch wird Miranda gern als Lehrbeispiel für funktionale Programmiersprachen genutzt, da ihre Komplettreferenz nur ca. 30 Seiten umfasst und damit im Vergleich zu anderen Sprachen recht leicht zu erlernen ist."
"JavaScript","JavaScript (/ˈdʒɑːvɑːˌskrɪpt/; JS) is a dynamic computer programming language. It is most commonly used as part of web browsers, whose implementations allow client-side scripts to interact with the user, control the browser, communicate asynchronously, and alter the document content that is displayed. It is also used in server-side network programming with runtime environments such as Node.js, game development and the creation of desktop and mobile applications. With the rise of the single-page web app and JavaScript-heavy sites, it is increasingly being used as a compile target for source-to-source compilers from both dynamic languages and static languages. In particular, Emscripten and highly optimised JIT compilers, in tandem with asm.js that is friendly to AOT compilers like OdinMonkey, have enabled C and C++ programs to be compiled into JavaScript and execute at near-native speeds, making JavaScript be considered the ""assembly language of the web"", according to its creator and others.
JavaScript is classified as a prototype-based scripting language with dynamic typing and first-class functions. This mix of features makes it a multi-paradigm language, supporting object-oriented, imperative, and functional programming styles.
Despite some naming, syntactic, and standard library similarities, JavaScript and Java are otherwise unrelated and have very different semantics. The syntax of JavaScript is actually derived from C, while the semantics and design are influenced by the Self and Scheme programming languages.
JavaScript is also used in environments that aren't web-based, such as PDF documents, site-specific browsers, and desktop widgets. Newer and faster JavaScript virtual machines (VMs) and platforms built upon them have also increased the popularity of JavaScript for server-side web applications. On the client side, JavaScript has been traditionally implemented as an interpreted language, but more recent browsers perform just-in-time compilation.
JavaScript has been standardized in the ECMAScript language specification.","JavaScript","JavaScript (kurz JS) ist eine Skriptsprache, die ursprünglich für dynamisches HTML in Webbrowsern entwickelt wurde, um Benutzerinteraktionen auszuwerten, Inhalte zu verändern, nachzuladen oder zu generieren und so die Möglichkeiten von HTML und CSS zu erweitern. Heute findet JavaScript auch außerhalb von Browsern Anwendung, so etwa auf Servern und in Microcontrollern.
Der als ECMAScript (ECMA 262) standardisierte Sprachkern von JavaScript beschreibt eine dynamisch typisierte, objektorientierte, aber klassenlose Skriptsprache. Sie wird allen objektorientierten Programmierparadigmen unter anderem auf der Basis von Prototypen gerecht. In JavaScript lässt sich objektorientiert und sowohl prozedural als auch funktional programmieren."
"CycL","CycL in computer science and artificial intelligence is an ontology language used by Doug Lenat's Cyc artificial intelligence project. Ramanathan V. Guha was instrumental in the design of early versions of the language. There is a close variant of CycL known as MELD.
The original version of CycL was a frame language, but the modern version is not. Rather, it is a declarative language based on classical first-order logic, with extensions for modal operators and higher order quantification.
CycL is used to represent the knowledge stored in the Cyc Knowledge Base, available from Cycorp. The source code written in CycL released with the OpenCyc system is licensed as open source, to increase its usefulness in supporting the semantic web.","CycL","CycL ist eine Ontologiesprache in der künstlichen Intelligenz, die speziell für die Wissensdatenbank Cyc entwickelt wurde. Doug Lenat und Ramanathan V. Guha sind die ersten Entwickler.
Die ursprüngliche Version von CycL war eine rahmenbasierte Sprache, von der sich die aktuelle Version jedoch entfernt hat. Sie ist eine Deklarationssprache, die auf der Prädikatenlogik erster Stufe beruht. Sie enthält Erweiterungen für Modallogik und Prädikatenlogik höherer Stufe.
CycL wird in der Cyc-Wissensdatenbank verwendet, um das gespeicherte Wissen darzustellen. Der Quellcode, geschrieben in CycL, steht im Projekt OpenCyc als Open Source zur Verfügung, um die Verwendbarkeit zur Unterstützung des semantischen Webs zu erhöhen."
"XQuery","XQuery is a query and functional programming language that is designed to query and transform collections of structured and unstructured data, usually in the form of XML, text and with vendor-specific extensions for other data formats (JSON, binary, etc.). The language is developed by the XML Query working group of the W3C. The work is closely coordinated with the development of XSLT by the XSL Working Group; the two groups share responsibility for XPath, which is a subset of XQuery.
XQuery 1.0 became a W3C Recommendation on January 23, 2007.
XQuery 3.0 became a W3C Recommendation on April 8, 2014.

""The mission of the XML Query project is to provide flexible query facilities to extract data from real and virtual documents on the World Wide Web, therefore finally providing the needed interaction between the Web world and the database world. Ultimately, collections of XML files will be accessed like databases"".","XQuery","XQuery steht für XML Query Language und bezeichnet eine vom W3C spezifizierte Abfragesprache für XML-Datenbanken.
XQuery benutzt eine an XSLT, SQL und C angelehnte Syntax und verwendet XPath sowie XML Schema für sein Datenmodell und seine Funktionsbibliothek. XQuery ist aus den Sprachen XQL, XML-QL und Quilt hervorgegangen.
XQuery ist stark typisiert und Turing-vollständig.
An der Entwicklung wesentlich beteiligt war (wie schon bei Quilt) Donald D. Chamberlin."
"Joy (programming language)","The Joy programming language in computer science is a purely functional programming language that was produced by Manfred von Thun of La Trobe University in Melbourne, Australia. Joy is based on composition of functions rather than lambda calculus. It has turned out to have many similarities to Forth, due not to design but to a sort of parallel evolution and convergence. It was also inspired by the function-level programming style of Backus's FP.

","Joy (Programmiersprache)","Joy ist eine funktionale Programmiersprache, in der konsequent die umgekehrte Polnische Notation verwendet wird.
Joy wurde von Manfred von Thun, tätig an der La Trobe University in Melbourne (Australien), entwickelt. Der Kerngedanke ist die Komposition von Funktionen, wobei eine Reihe von Kombinatoren zur Verfügung steht. In einfachen Fällen sieht JOY-Code wie FORTH aus, die Aussagekraft ist jedoch weitaus mächtiger, da Datenstrukturen (und gleichermaßen Programmstrukturen) beliebiger Komplexität auf dem Stack (Stapel) verarbeitet werden können.
Beispiel: Fakultät (unter Benutzung des Kombinators für primitive Rekursion):

[1]  [*]  primrec

Aufrufbeispiel:

5 [1] [*] primrec

was so zu verstehen ist:
Lege der Reihe nach die Konstante 5 und die Listen [1] und [*] auf den Stapel.
primrec liest die obersten drei Stapelelemente. Wenn das dritte gleich 0 ist, wird das zweite [1] als Ergebnis auf den Stapel gelegt. Andernfalls wird es um 1 dekrementiert, auf den Stapel gelegt, und rekursiv wieder primrec aufgerufen. Auf dem Rückweg wird das erste Element [*] als Funktion auf die beiden obersten Stapelelemente angewandt und das Ergebnis (in diesem Fall 120) wieder auf den Stapel gelegt."
"Ada (programming language)","Ada is a structured, statically typed, imperative, wide-spectrum, and object-oriented high-level computer programming language, extended from Pascal and other languages. It has built-in language support for design-by-contract, extremely strong typing, explicit concurrency, offering tasks, synchronous message passing, protected objects, and non-determinism. Ada aims to improve the safety and maintainability by leveraging the compiler to find compile-time errors in favor of runtime errors. Ada is an international standard; the current version (known as Ada 2012) is defined by ISO/IEC 8652:2012.
Ada was originally designed by a team led by Jean Ichbiah of CII Honeywell Bull under contract to the United States Department of Defense (DoD) from 1977 to 1983 to supersede the hundreds of programming languages then used by the DoD. Ada was named after Ada Lovelace (1815–1852), who is credited as being the first computer programmer.","Ada (Programmiersprache)","Ada ist eine strukturierte Programmiersprache mit statischer Typenbindung. Sie wurde von Jean Ichbiah von dem Unternehmen Honeywell Bull in den 1970er Jahren entworfen. Es war die erste standardisierte Hochsprache. Ada ist vom Erscheinungsbild ähnlich zur Programmiersprache Pascal und ist genauso wie Modula-2 als Wirthsche Sprache zu betrachten. Ebenso wie Modula ist Ada aber auch strenger in der Programmierung als Pascal.

"
"Trier Amphitheater","The Trier Amphitheater is a Roman Amphitheater in Trier, Germany. It is designated as part of the Roman Monuments, Cathedral of St. Peter and Church of Our Lady in Trier UNESCO World Heritage Site.","Amphitheater (Trier)","Das Amphitheater in Trier (Augusta Treverorum) ist ein Amphitheater aus der Römerzeit, das nach der Fertigstellung um 100 n. Chr. 18.000 Besuchern Platz bot.
Seit 1986 ist das Amphitheater Teil des UNESCO-Welterbes Römische Baudenkmäler, Dom und Liebfrauenkirche in Trier."
"Bremen City Hall","The Bremen City Hall is the seat of the President of the Senate and Mayor of the Free Hanseatic City of Bremen. It is one of the most important examples of Brick Gothic architecture in Europe. Since 1973, it is protected by the monument protection act. In July 2004, along with the Bremen Roland, the building was added to the list of UNESCO World Heritage Sites.
The city hall stands on the market square of the historic town centre. Directly in front of it is the statue of Roland, mentioned above. Opposite the square the Chamber of Commerce is located, to the right are Bremen Cathedral and the modern parliament building, whilst to the left is Our Lady's Church. On the west side of the square the sculpture The Town Musicians of Bremen by Gerhard Marcks is displayed.
The Bremer Schaffermahl is a traditional banquet held annually in the city hall.","Bremer Rathaus","Das Bremer Rathaus ist eines der bedeutendsten Bauwerke der Gotik und der Weserrenaissance in Europa. Seit 1973 steht es unter Denkmalschutz. Im Juli 2004 wurde es zusammen mit dem Bremer Roland von der UNESCO zum Weltkulturerbe der Menschheit erklärt.
Das Gebäude ist Sitz des Senats und des Präsidenten des Senats und Bürgermeisters der Freien Hansestadt Bremen."
"Euler (programming language)","Euler is a programming language created by Niklaus Wirth and Helmut Weber, conceived as an extension and generalization of ALGOL 60. The designers' goal was to create a language:
which was simpler, and yet more flexible, than ALGOL 60
that was a useful programming language processed with reasonable efficiency
that can be defined with rigorous formality","Euler (Programmiersprache)","Euler ist eine von Niklaus Wirth und Helmut Weber entwickelte Programmiersprache, entworfen als Erweiterung und Verallgemeinerung von ALGOL 60. Sie wurde 1966 publiziert. Ziele der Entwicklung dieser neuen Programmiersprache waren:
einfacher und doch flexibler als ALGOL 60
brauchbare Programmiersprache, die mit vernünftiger Geschwindigkeit lief
präzise formale Definierbarkeit"
"StepTalk","StepTalk is the official GNUstep scripting framework that represents separate scriptable servers or applications as a single object environment. It is meant to be independent of the programming language used; its default language is Smalltalk on top of the Objective-C runtime.
StepTalk was ported to Mac OS X.","StepTalk","StepTalk ist das offizielle GNUstep Scripting-Framework. StepTalk wurde in Objective-C verfasst. Standardmäßig wird Smalltalk als Skriptsprache verwendet, jede andere Skriptsprache kann aber mit einem sogenannten „language bundle“ hinzugefügt werden.
StepTalk wird parallel für GNUstep und das Mac-OS-X-Framework Cocoa entwickelt, d. h. es läuft auf allen Plattformen auf denen auch GNUstep oder Cocoa vorhanden ist."
"Standard ML","Standard ML (SML) is a general-purpose, modular, functional programming language with compile-time type checking and type inference. It is popular among compiler writers and programming language researchers, as well as in the development of theorem provers.
SML is a modern descendant of the ML programming language used in the Logic for Computable Functions (LCF) theorem-proving project. It is distinctive among widely used languages in that it has a formal specification, given as typing rules and operational semantics in The Definition of Standard ML (1990, revised and simplified as The Definition of Standard ML (Revised) in 1997).

","Standard ML","Standard ML (SML) ist eine von ML abstammende funktionale Programmiersprache mit einigen imperativen Merkmalen (zum Beispiel im Bereich File IO).
ML-Schöpfer Robin Milner schlug SML 1983 vor, um die verschiedenen Dialekte von ML zu standardisieren. Die Sprache wurde von 1984 bis 1988 entwickelt und schließlich 1990 von Robin Milner, Mads Tofte und Robert Harper formalisiert. 1997 wurde mit SML'97 eine Revision der Sprache veröffentlicht, die neben einigen Vereinfachungen auch eine SML-Basisbibliothek enthält.
Wichtige Merkmale von SML sind unter anderem die statische Typisierung, Polymorphie auf Funktions- und Datentypsebene, automatische Speicherbereinigung sowie strenge Auswertung und Ausnahmebehandlung. Außerdem unterstützt SML Funktionen höherer Ordnung, Module und sogenannte Funktoren, die hier parametrisierte Datentypen bezeichnen.
Eine Besonderheit von SML ist, dass die Sprache vollständig formal definiert ist. Dadurch können wichtige Eigenschaften der Sprache mathematisch bewiesen werden."
"Lua (programming language)","Lua (/ˈluːə/ LOO-ə, from Portuguese: lua [ˈlu.(w)ɐ] meaning moon; explicitly not ""LUA"") is a lightweight multi-paradigm programming language designed as a scripting language with extensible semantics as a primary goal. Lua is cross-platform since it is written in ANSI C, and has a relatively simple C API.","Lua","Lua (portugiesisch für Mond) ist eine imperative und erweiterbare Skriptsprache zum Einbinden in Programme, um diese leichter weiterentwickeln und warten zu können. Eine der besonderen Eigenschaften von Lua ist die geringe Größe des kompilierten Skript-Interpreters.
Lua-Programme sind meist plattformunabhängig und werden vor der Ausführung in Bytecode übersetzt. Obwohl man mit Lua auch eigenständige Programme schreiben kann, ist sie vorrangig als eingebettete Skriptsprache für andere Programme konzipiert. In dieser Hinsicht ist sie mit Tcl vergleichbar. Vorteile von Lua sind die geringe Größe von 120 kB, die Erweiterbarkeit und die hohe Geschwindigkeit, verglichen mit anderen Skriptsprachen.
Der Lua-Interpreter kann über eine C-Bibliothek angesprochen werden, die auch ein API für die Laufzeitumgebung des Interpreters für Aufrufe vom C-Programm aus beinhaltet. Mittels des API können verschiedene Teile des Programmes in C und Lua geschrieben werden, während Variablen und Funktionen in beiden Richtungen erreichbar bleiben (d. h. eine Funktion in Lua kann eine Funktion in C aufrufen und umgekehrt).
Es gibt auch einen freien JIT-Compiler namens LuaJIT, der die Revision 5.1 der Sprache unterstützt.
Lua ist in ANSI-C implementiert und unterstützt imperative und funktionale Programmierung. Implementiert man jedoch selbst Objekte mittels Metatables, wird auch objektorientierte Programmierung möglich."
